X,Y,Name,description,station,line,status,type
-122.682818488493,45.5210930169493,,,SW 11th & Alder,NS/BL,Existing,SC
-122.68229674681,45.5266094824602,,,NW 11th & Glisan,NS/BL,Existing,SC
-122.682245848064,45.5251837391171,,,NW 11th & Everett,NS/BL,Existing,SC
-122.567144681058,45.5771320126601,,,Mt Hood Ave,R,Existing,MAX
-122.696880151465,45.529744746489,,,NW Lovejoy & 22nd,NS,Existing,SC
-122.694674241065,45.5298362817016,,,NW Lovejoy & 21st,NS,Existing,SC
-122.698688378039,45.5306155424184,,,NW 23rd & Marshall,NS,Existing,SC
-122.683992564314,45.5163049340551,,,Art Museum,NS/AL,Existing,SC
-122.675056926176,45.5181082375422,,,Morrison/SW 3rd Ave,BR,Existing,MAX
-122.67705915588,45.5186436170124,,,Mall/SW 5th Ave,BR,Existing,MAX
-122.682374944671,45.5287453176385,,,NW 11th & Johnson,NS/BL,Existing,SC
-122.55827431967,45.5226407102386,,,E 102nd Ave,B,Existing,MAX
-122.59339837945,45.587878161724,,,Portland International Airport,R,Existing,MAX
-122.677412832648,45.518011580001,,,Mall/SW 4th Ave,BR,Existing,MAX
-122.537746300158,45.5224943150259,,,E 122nd Ave,B,Existing,MAX
-122.496432465157,45.5221734513437,,,E 162nd Ave,B,Existing,MAX
-122.460346237733,45.5161294963082,,,Ruby Junction/E 197th Ave,B,Existing,MAX
-122.470758711846,45.5205382929929,,,Rockwood/E 188th Ave,B,Existing,MAX
-122.662202900472,45.5300904692961,,,Convention Center,BGR,Existing,MAX
-122.658059051249,45.5300939719635,,,NE 7th Ave,BGR,Existing,MAX
-122.426976739717,45.5025875292738,,,Gresham Central TC,B,Existing,MAX
-122.436063112232,45.505832489246,,,Gresham City Hall,B,Existing,MAX
-122.679427550903,45.5185507068607,,,Pioneer Square South,BR,Existing,MAX
